               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.046754,            0.026584,                   0,             0.88868,             0.65432,             0.73928,             0.36662,            0.038714,            0.020489,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.044089,            0.029373,                   0,             0.89464,             0.69136,             0.74782,             0.47006,            0.038129,            0.020436,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.042616,            0.025514,                   0,             0.79304,             0.62963,             0.68583,             0.41877,            0.037052,            0.020743,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.042472,            0.027561,                   0,             0.93456,             0.70526,             0.77851,             0.44563,            0.039225,            0.019385,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.040481,            0.025887,                   0,             0.94454,             0.69136,             0.77216,             0.42479,            0.043071,            0.018829,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.043042,            0.025761,                   0,             0.88176,             0.69136,             0.76248,             0.47871,            0.036025,            0.018883,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.041703,            0.026473,                   0,             0.89816,              0.7284,             0.78222,             0.52766,            0.032804,            0.019159,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.039537,            0.026448,                   0,             0.90563,             0.71089,              0.7795,             0.46569,            0.037572,            0.019123,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.042366,            0.026035,                   0,             0.84528,             0.51852,             0.62377,              0.3767,            0.042097,            0.020994,                   0,            0.008317,            0.008317,            0.008317
                  70,            0.040633,            0.026438,                   0,             0.78005,             0.65432,             0.71788,              0.3615,            0.038435,              0.0195,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.041159,            0.024194,                   0,             0.94295,             0.61223,             0.75856,             0.50596,            0.032037,            0.019005,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.039177,            0.027786,                   0,             0.85068,             0.65432,             0.70128,             0.47146,            0.035116,            0.018833,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,            0.036749,            0.026565,                   0,              0.8576,             0.71605,             0.77588,             0.50298,            0.031962,            0.018673,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.038917,            0.024722,                   0,             0.87856,              0.7284,             0.76042,             0.48102,              0.0351,             0.01855,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.040534,            0.023801,                   0,             0.83844,             0.67901,             0.73396,              0.4543,            0.034484,            0.019179,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,            0.039359,            0.024691,                   0,             0.87557,             0.78189,             0.81955,             0.49087,            0.034477,            0.017652,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,            0.037502,             0.02531,                   0,             0.89599,              0.7284,             0.75838,             0.43652,            0.034868,            0.017862,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.040397,            0.027437,                   0,             0.91457,             0.66089,             0.73919,             0.48874,            0.035428,            0.018302,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.037976,            0.024166,                   0,             0.86867,             0.74074,             0.79077,             0.50105,            0.032135,             0.01806,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,            0.037552,            0.025524,                   0,              0.9137,              0.7037,             0.80312,             0.52378,            0.032476,            0.017518,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.035985,            0.024135,                   0,             0.88885,             0.69111,             0.76723,             0.46165,            0.038924,            0.019249,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.038866,            0.023943,                   0,             0.84558,             0.71605,              0.7685,             0.48266,            0.032109,             0.01766,                   0,           0.0079953,           0.0079953,           0.0079953
                  83,            0.037841,            0.025069,                   0,             0.84147,             0.72086,             0.77288,             0.54228,            0.030851,            0.017626,                   0,           0.0079705,           0.0079705,           0.0079705
                  84,            0.035367,            0.023493,                   0,             0.89114,              0.7075,             0.79417,             0.53394,            0.029932,            0.017512,                   0,           0.0079457,           0.0079457,           0.0079457
                  85,            0.033489,            0.023551,                   0,             0.90323,             0.71605,              0.8231,             0.54106,            0.029127,             0.01744,                   0,            0.007921,            0.007921,            0.007921
                  86,            0.034666,            0.022839,                   0,             0.87909,             0.80786,             0.83981,             0.49516,            0.031109,            0.017802,                   0,           0.0078963,           0.0078963,           0.0078963
                  87,            0.037219,            0.024388,                   0,             0.87589,              0.7284,              0.8138,             0.54159,            0.028346,            0.016915,                   0,           0.0078715,           0.0078715,           0.0078715
                  88,            0.034256,            0.023961,                   0,             0.91423,              0.7037,             0.80366,             0.53037,            0.029527,            0.017874,                   0,           0.0078467,           0.0078467,           0.0078467
                  89,             0.03258,            0.023197,                   0,             0.84999,             0.71605,             0.80442,             0.48527,            0.031717,            0.017528,                   0,            0.007822,            0.007822,            0.007822
                  90,            0.037522,            0.023453,                   0,             0.75571,             0.72565,              0.7335,             0.32436,            0.039852,            0.018857,                   0,           0.0077973,           0.0077973,           0.0077973
                  91,            0.037887,            0.022013,                   0,             0.84865,             0.76153,             0.82584,             0.53528,            0.030201,            0.016423,                   0,           0.0077725,           0.0077725,           0.0077725
                  92,            0.034781,            0.021839,                   0,             0.84546,             0.71605,             0.76063,             0.46076,            0.036988,            0.017029,                   0,           0.0077478,           0.0077478,           0.0077478
                  93,            0.033514,            0.020871,                   0,             0.81884,             0.77778,             0.80476,             0.50808,            0.032576,            0.017456,                   0,            0.007723,            0.007723,            0.007723
                  94,            0.035449,            0.023893,                   0,               0.909,             0.73993,             0.82019,             0.51874,             0.03159,            0.017077,                   0,           0.0076983,           0.0076983,           0.0076983
                  95,            0.034472,            0.023209,                   0,             0.92307,             0.71605,             0.82994,             0.56654,            0.028115,            0.016976,                   0,           0.0076735,           0.0076735,           0.0076735
                  96,            0.032532,            0.021135,                   0,              0.9064,             0.76543,             0.85281,             0.57042,            0.028931,            0.016672,                   0,           0.0076488,           0.0076488,           0.0076488
                  97,            0.032619,            0.021736,                   0,             0.93452,             0.74074,             0.83816,             0.58181,            0.028016,             0.01672,                   0,            0.007624,            0.007624,            0.007624
                  98,            0.032088,            0.020819,                   0,             0.93287,             0.74074,              0.8386,             0.53232,             0.03194,            0.017293,                   0,           0.0075993,           0.0075993,           0.0075993
                  99,            0.033716,            0.022277,                   0,             0.90404,             0.77778,              0.8445,             0.58214,            0.027634,            0.016307,                   0,           0.0075745,           0.0075745,           0.0075745
                 100,            0.033574,            0.023067,                   0,             0.85477,             0.79932,             0.85445,             0.58737,            0.028292,             0.01582,                   0,           0.0075498,           0.0075498,           0.0075498
                 101,            0.032902,            0.022341,                   0,              0.8376,             0.83951,             0.84652,             0.53214,            0.030711,            0.016126,                   0,            0.007525,            0.007525,            0.007525
                 102,            0.033696,            0.022391,                   0,             0.79159,             0.79012,             0.83612,             0.57615,            0.027547,            0.015859,                   0,           0.0075003,           0.0075003,           0.0075003
                 103,            0.032545,            0.020703,                   0,              0.8047,             0.81389,             0.85157,             0.56726,            0.027087,            0.016826,                   0,           0.0074755,           0.0074755,           0.0074755
                 104,            0.032575,             0.02169,                   0,             0.80362,             0.75309,             0.77446,             0.49709,            0.030201,            0.017722,                   0,           0.0074507,           0.0074507,           0.0074507
                 105,            0.035347,            0.021967,                   0,             0.81368,             0.70092,             0.76326,             0.40916,            0.036152,            0.020535,                   0,            0.007426,            0.007426,            0.007426
                 106,            0.036368,            0.021927,                   0,             0.86025,                0.76,              0.7872,               0.532,            0.030746,            0.017875,                   0,           0.0074013,           0.0074013,           0.0074013
                 107,            0.032355,            0.021874,                   0,              0.8913,             0.74074,             0.82773,             0.57803,              0.0272,            0.016948,                   0,           0.0073765,           0.0073765,           0.0073765
                 108,            0.031289,            0.021909,                   0,             0.85967,             0.75309,             0.81952,             0.56398,             0.02679,            0.017254,                   0,           0.0073517,           0.0073517,           0.0073517
                 109,            0.031765,            0.020639,                   0,              0.8823,             0.77778,              0.8541,             0.54796,            0.027389,            0.017073,                   0,            0.007327,            0.007327,            0.007327
                 110,            0.030494,            0.019165,                   0,             0.86701,             0.82716,             0.87065,             0.55968,            0.028406,            0.017286,                   0,           0.0073023,           0.0073023,           0.0073023
                 111,            0.033026,            0.021525,                   0,              0.8561,             0.80247,             0.85167,             0.59351,            0.027338,              0.0174,                   0,           0.0072775,           0.0072775,           0.0072775
                 112,             0.03127,            0.021207,                   0,             0.90999,             0.74896,             0.84801,             0.58591,            0.027857,            0.016187,                   0,           0.0072527,           0.0072527,           0.0072527
                 113,            0.030424,              0.0211,                   0,              0.8873,             0.79012,             0.84381,             0.60171,            0.026108,            0.016051,                   0,            0.007228,            0.007228,            0.007228
                 114,            0.032488,            0.020615,                   0,             0.88876,             0.77778,             0.84808,             0.59456,            0.026854,            0.015933,                   0,           0.0072033,           0.0072033,           0.0072033
                 115,            0.031781,            0.020707,                   0,             0.86049,             0.79012,              0.8289,             0.58915,            0.027762,            0.016216,                   0,           0.0071785,           0.0071785,           0.0071785
                 116,            0.033458,            0.023358,                   0,             0.90548,             0.75309,               0.832,             0.58872,            0.027155,            0.016405,                   0,           0.0071538,           0.0071538,           0.0071538
                 117,            0.029097,            0.022021,                   0,             0.88952,             0.77778,             0.83376,             0.54429,            0.030405,            0.016398,                   0,            0.007129,            0.007129,            0.007129
                 118,            0.029704,            0.020044,                   0,             0.91113,             0.75948,             0.84435,             0.59433,            0.025575,             0.01617,                   0,           0.0071042,           0.0071042,           0.0071042
                 119,            0.033722,            0.022744,                   0,             0.84574,             0.80247,              0.8505,             0.58949,            0.026982,            0.016645,                   0,           0.0070795,           0.0070795,           0.0070795
                 120,            0.028315,            0.019024,                   0,             0.95736,             0.79012,             0.85999,             0.57976,             0.02796,            0.016033,                   0,           0.0070547,           0.0070547,           0.0070547
                 121,            0.031118,             0.02229,                   0,             0.89402,             0.83317,             0.87177,             0.57797,            0.025935,            0.016255,                   0,             0.00703,             0.00703,             0.00703
                 122,            0.030753,            0.019412,                   0,             0.88539,             0.76303,              0.8216,             0.53726,            0.029759,            0.016796,                   0,           0.0070053,           0.0070053,           0.0070053
                 123,            0.031663,            0.021132,                   0,             0.91407,             0.78802,             0.82531,             0.56615,            0.027272,            0.016714,                   0,           0.0069805,           0.0069805,           0.0069805
                 124,            0.030021,            0.019337,                   0,             0.91896,             0.79012,             0.86345,             0.55737,            0.028437,            0.016299,                   0,           0.0069558,           0.0069558,           0.0069558
                 125,            0.030153,             0.01943,                   0,             0.84813,             0.80247,             0.84699,             0.56939,            0.026792,            0.016214,                   0,            0.006931,            0.006931,            0.006931
                 126,             0.02737,            0.022364,                   0,             0.93936,             0.76498,             0.85124,             0.58309,            0.026495,            0.016534,                   0,           0.0069063,           0.0069063,           0.0069063
                 127,             0.02886,            0.020635,                   0,             0.85368,             0.79234,             0.84914,             0.60086,            0.026517,            0.015854,                   0,           0.0068815,           0.0068815,           0.0068815
                 128,            0.028485,            0.020564,                   0,             0.83724,             0.80247,             0.83319,             0.57094,             0.02671,            0.016159,                   0,           0.0068568,           0.0068568,           0.0068568
                 129,            0.029209,            0.021831,                   0,             0.88345,             0.80247,             0.83694,              0.5869,            0.027838,            0.015363,                   0,            0.006832,            0.006832,            0.006832
                 130,            0.029609,            0.020183,                   0,             0.89139,              0.8106,             0.86421,             0.59109,            0.025952,            0.014927,                   0,           0.0068073,           0.0068073,           0.0068073
                 131,            0.030511,            0.021273,                   0,              0.9284,             0.80039,             0.83117,             0.57611,            0.025331,            0.015815,                   0,           0.0067825,           0.0067825,           0.0067825
                 132,            0.029844,            0.021136,                   0,             0.90873,             0.79012,              0.8202,             0.56982,            0.025253,            0.015597,                   0,           0.0067577,           0.0067577,           0.0067577
                 133,             0.02885,            0.022139,                   0,             0.91725,             0.75309,             0.84832,             0.60568,            0.024121,             0.01507,                   0,            0.006733,            0.006733,            0.006733
                 134,            0.028026,            0.019548,                   0,             0.86527,             0.79292,             0.86883,             0.60995,            0.025774,            0.015391,                   0,           0.0067082,           0.0067082,           0.0067082
